GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
challenge,br.com.fiap.challenge.application.exception,ErrorCode,0,94,0,0,0,14,0,1,0,1
challenge,br.com.fiap.challenge.application.exception,BusinessException,0,17,0,0,0,6,0,3,0,3
challenge,br.com.fiap.challenge.infrastructure.config,OpenAPIConfig,0,25,0,0,0,7,0,2,0,2
challenge,br.com.fiap.challenge.interfaces.dto.request,UsuarioUpdateSenhaDTO,0,9,0,0,0,1,0,1,0,1
challenge,br.com.fiap.challenge.interfaces.dto.request,UsuarioCreateRequestDTO,0,21,0,0,0,1,0,1,0,1
challenge,br.com.fiap.challenge.interfaces.dto.request,RestauranteUpdateRequest,0,18,0,0,0,1,0,1,0,1
challenge,br.com.fiap.challenge.interfaces.dto.request,TipoUsuarioUpdateDTO,0,6,0,0,0,1,0,1,0,1
challenge,br.com.fiap.challenge.interfaces.dto.request,RestauranteRequest,0,18,0,0,0,1,0,1,0,1
challenge,br.com.fiap.challenge.interfaces.dto.request,ItemCardapioUpdateRequest,0,18,0,0,0,1,0,1,0,1
challenge,br.com.fiap.challenge.interfaces.dto.request,EnderecoRequestDTO,0,24,0,0,0,1,0,1,0,1
challenge,br.com.fiap.challenge.interfaces.dto.request,TipoUsuarioRequestDTO,0,6,0,0,0,1,0,1,0,1
challenge,br.com.fiap.challenge.interfaces.dto.request,ItemCardapioRequest,0,21,0,0,0,1,0,1,0,1
challenge,br.com.fiap.challenge.interfaces.dto.request,LoginRequestDTO,0,9,0,0,0,1,0,1,0,1
challenge,br.com.fiap.challenge.interfaces.dto.request,UsuarioUpdateRequestDTO,0,18,0,0,0,1,0,1,0,1
challenge,br.com.fiap.challenge.interfaces.controller,TipoUsuarioController,0,54,0,0,0,11,0,6,0,6
challenge,br.com.fiap.challenge.interfaces.controller,UsuarioController,0,74,0,4,0,16,0,9,0,7
challenge,br.com.fiap.challenge.interfaces.controller,AuthController,0,12,0,0,0,4,0,2,0,2
challenge,br.com.fiap.challenge.interfaces.controller,ItemCardapioController,0,54,0,0,0,14,0,6,0,6
challenge,br.com.fiap.challenge.interfaces.controller,RestauranteController,0,54,0,0,0,11,0,6,0,6
challenge,br.com.fiap.challenge.infrastructure.security,JwtAuthenticationFilter,0,75,0,6,0,22,0,5,0,2
challenge,br.com.fiap.challenge.infrastructure.security,SecurityConfig,0,84,0,0,0,19,0,8,0,8
challenge,br.com.fiap.challenge.infrastructure.security,JwtService,0,87,0,0,0,38,0,7,0,7
challenge,br.com.fiap.challenge.infrastructure.persistence.adapter,RestauranteRepositoryAdapter,0,31,0,0,0,9,0,6,0,6
challenge,br.com.fiap.challenge.infrastructure.persistence.adapter,ItemCardapioRepositoryAdapter,5,26,0,0,1,8,1,5,1,5
challenge,br.com.fiap.challenge.infrastructure.persistence.adapter,TipoUsuarioRepositoryAdapter,0,31,0,0,0,9,0,6,0,6
challenge,br.com.fiap.challenge.infrastructure.persistence.adapter,UsuarioRepositoryAdapter,10,36,0,0,2,10,2,7,2,7
challenge,br.com.fiap.challenge.application.service,AuthService,6,47,0,2,1,15,1,3,1,2
challenge,br.com.fiap.challenge.application.service,RestauranteService,12,201,4,8,0,43,6,12,2,10
challenge,br.com.fiap.challenge.application.service,UsuarioService,6,288,1,5,0,63,2,20,1,18
challenge,br.com.fiap.challenge.application.service,ItemCardapioService,6,144,0,4,0,31,1,11,1,9
challenge,br.com.fiap.challenge.application.service,TipoUsuarioService,0,129,0,4,0,27,0,11,0,9
challenge,br.com.fiap.challenge.interfaces.controller.handler,ControllerExceptionHandler,0,87,0,2,0,20,0,5,0,4
challenge,br.com.fiap.challenge.interfaces.dto.response,ItemCardapioResponse,0,21,0,0,0,1,0,1,0,1
challenge,br.com.fiap.challenge.interfaces.dto.response,EnderecoResponseDTO,0,27,0,0,0,1,0,1,0,1
challenge,br.com.fiap.challenge.interfaces.dto.response,RestauranteResponse,0,24,0,0,0,1,0,1,0,1
challenge,br.com.fiap.challenge.interfaces.dto.response,TipoUsuarioResponseDTO,0,9,0,0,0,1,0,1,0,1
challenge,br.com.fiap.challenge.interfaces.dto.response,TokenResponseDTO,0,6,0,0,0,1,0,1,0,1
challenge,br.com.fiap.challenge.interfaces.dto.response,UsuarioResponseDTO,0,18,0,0,0,1,0,1,0,1
challenge,br.com.fiap.challenge.interfaces.dto.response,DonoRestauranteResponse,0,12,0,0,0,1,0,1,0,1
